step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
105.0,112,3451.0,15.069868995633188,5.394555519178642,18,346.0,0.1967981731860289,2,202.0,0.34364107155753704,0,4.0,0.46436541665651543,4,22.0,0.16536009836318658,27,993.0,0.13924386219824678,0,0.0,0.7181373007985722,4,34.0,0.5585315532985492,2,4.0,0.6056252043871477,0,4.0,0.8088815817453483,0,0.0,0.9632670236163484,27,1000.0,0.13656871398663634,0,0.0,1.0,0,0.0,0.5195201081169758,0,4.0,0.8273426454420499,28,1103.0,0.12716167482456853,0,0.0,0.807678703079695,112,3716.0
110.0,123,4018.0,17.097872340425532,5.066269662568275,19,437.0,0.21077008372850706,2,204.0,0.3152069547452905,0,4.0,0.898696603255322,4,44.0,0.4480278013912725,29,1133.0,0.19852840441039588,0,0.0,0.9386209992238461,4,50.0,0.31616178977611503,1,1.0,0.6947166465843502,3,12.0,0.6861126041874128,0,0.0,0.9434441170412401,28,1139.0,0.1492859388192782,0,4.0,0.5133509913552046,0,0.0,0.6012986471423195,2,7.0,0.4945962757264748,31,1251.0,0.0846875847966873,0,0.0,0.9136772573048494,123,4286.0
115.0,139,4665.0,19.276859504132233,4.64056849832912,21,538.0,0.23943868340614957,8,233.0,0.296636608142964,0,4.0,0.9077622407516573,4,64.0,0.5946234799214846,31,1282.0,0.1423015766581277,0,0.0,0.9333593642433962,4,70.0,0.0,2,8.0,0.049159458315232885,0,10.0,0.488521093753854,0,0.0,0.9583258512754275,31,1289.0,0.0801814196267691,0,4.0,0.9008558083488428,0,4.0,0.4624262073887551,6,28.0,0.3099451336533735,32,1408.0,0.13093786223876341,0,0.0,1.0,139,4942.0
120.0,145,5292.0,21.77777777777778,4.509922188415539,23,648.0,0.18095382944173308,9,278.0,0.23434852190848446,0,0.0,0.8809332160387627,4,82.0,0.5206195098258022,32,1442.0,0.08678074441573291,0,0.0,0.8708380777041036,0,38.0,0.6959267793141451,0,9.0,0.5291649216245904,5,19.0,0.39157067043104604,0,0.0,0.9819424712460775,32,1448.0,0.1096368510207994,0,4.0,0.8711516204285716,0,4.0,0.8910926134483991,6,58.0,0.3194179457155844,34,1574.0,0.09073216401644581,0,0.0,1.0,145,5604.0
125.0,143,5865.0,23.366533864541832,4.552538777375423,24,767.0,0.17142637586999174,9,323.0,0.2868172025157083,0,0.0,1.0,0,43.0,0.3931729759427998,34,1610.0,0.036165017706370275,0,0.0,1.0,0,0.0,0.9183075728975917,0,4.0,0.9236846212345932,6,49.0,0.3803232623272468,0,0.0,0.9261537830103002,35,1617.0,0.10784411944799621,0,0.0,0.6962820667885309,0,4.0,0.9211248876002809,0,45.0,0.3736302460195435,35,1748.0,0.0824406348045186,0,0.0,0.7388682805756321,143,6210.0
130.0,144,6426.0,25.5,4.625550026740984,27,897.0,0.19288855566347007,3,248.0,0.385139755932306,0,0.0,0.8759418594801396,3,8.0,0.006086172946552995,36,1787.0,0.08287197022371831,0,0.0,1.0,0,0.0,0.8806534227536129,0,2.0,0.8935895634077697,1,46.0,0.43822246968058565,0,2.0,0.8657142082210635,36,1794.0,0.09641644560671271,0,0.0,0.9576670002515045,0,0.0,0.9312327886981905,2,8.0,0.4749056220703776,36,1928.0,0.07259195231447468,0,0.0,0.8692052717993504,144,6720.0
135.0,142,7054.0,28.67479674796748,4.604400973398435,28,1034.0,0.10885820340480312,1,104.0,0.5715548933236585,0,0.0,0.914291353237877,0,13.0,0.23097310920362774,36,1967.0,0.10993559045830757,0,0.0,1.0,0,0.0,0.6651641999249409,1,6.0,0.39194309368404795,3,15.0,0.6662145083883703,1,5.0,0.7429138857992267,36,1974.0,0.11674469212003458,0,0.0,0.9812967465323699,0,0.0,0.9472597445661431,0,1.0,0.6582276247867125,36,2108.0,0.09413852659615175,0,0.0,0.8835379131573665,142,7227.0
140.0,139,7176.0,29.289795918367346,4.256264695329371,30,1181.0,0.12934857895401125,1,36.0,0.47780924304339556,0,0.0,0.6233906747475204,0,4.0,0.8993538567148806,30,1940.0,0.08919892728343398,0,2.0,0.846100067045855,0,0.0,1.0,4,20.0,0.45176483954939634,0,9.0,0.7723092086107549,2,15.0,0.7445611042374581,36,2154.0,0.09789411790880885,0,2.0,0.2794621418030832,0,4.0,0.4024129537501855,0,0.0,0.9997161835049087,36,2288.0,0.09793695009002754,0,0.0,0.9134344577524195,139,7655.0
145.0,129,5775.0,22.82608695652174,4.117148869416504,32,1339.0,0.12065276096618578,2,46.0,0.6549806318608189,0,1.0,0.356038120955595,0,4.0,0.9133239548655884,26,1709.0,0.10798988384669936,0,4.0,0.8613344977164785,0,0.0,0.4976969895036183,4,38.0,0.4761467360300403,2,8.0,0.506812642517395,0,7.0,0.4554304439772915,30,2115.0,0.115606145773512,1,13.0,0.6795317250550277,0,4.0,0.8954099972680282,0,2.0,0.46234020331118436,32,2234.0,0.09784026716388694,0,4.0,0.3715439872134393,129,7528.0
150.0,117,4052.0,16.015810276679844,4.467206065762332,34,1504.0,0.08085461319670378,2,56.0,0.6310162048388149,0,0.0,0.8265653825917373,0,4.0,0.4312115914009972,16,1717.0,0.10006621693394949,0,4.0,0.8691072130179223,0,2.0,0.8675756138737588,2,25.0,0.17610463428741804,7,33.0,0.34847149720906245,6,19.0,0.36607807289693517,24,1751.0,0.13271941710120574,0,8.0,0.8843166531787112,0,4.0,0.9248241311921428,0,4.0,0.8785857907187697,24,1852.0,0.06538384749157858,2,13.0,0.6257555454967884,117,6996.0
