step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
185.0,44,843.0,12.042857142857143,2.671685807209854,44,1134.0,0.07981101486326027,44,1134.0
190.0,46,1070.0,15.970149253731343,2.888123270803826,46,1345.0,0.13342942509422492,46,1345.0
195.0,52,1323.0,19.455882352941178,1.9595487987571127,52,1598.0,0.06581472075219609,52,1598.0
200.0,57,1598.0,22.194444444444443,1.3521198903993243,57,1873.0,0.0260153806094688,57,1873.0
205.0,60,1579.0,21.63013698630137,1.4008350070607831,60,2005.0,0.053531988095125806,60,2005.0
210.0,50,1355.0,18.819444444444443,2.0523203762854965,50,1981.0,0.07973470597363205,50,1981.0
215.0,52,1270.0,17.16216216216216,1.7908209540412614,52,2228.0,0.05400576156042442,52,2228.0
220.0,52,1275.0,16.346153846153847,1.1774648985331122,52,2477.0,0.06698420132104366,52,2477.0
225.0,48,1129.0,14.474358974358974,1.672588072223402,48,2572.0,0.11409021974318573,48,2572.0
230.0,47,871.0,10.621951219512194,1.9858452658570607,47,2531.0,0.09713691125049612,47,2531.0
235.0,54,715.0,8.313953488372093,2.150281419892957,54,2487.0,0.05799865566262888,54,2487.0
240.0,50,738.0,8.482758620689655,2.6539257403032868,50,2680.0,0.0923558563081693,50,2680.0
245.0,50,897.0,11.074074074074074,2.565852498245567,50,2922.0,0.09545247700316574,50,2922.0
250.0,52,949.0,12.012658227848101,1.4434293915717065,52,2986.0,0.055026038350912417,52,2986.0
255.0,50,951.0,11.597560975609756,1.7455678961614385,50,2884.0,0.06743862923207197,50,2884.0
260.0,49,896.0,10.181818181818182,3.108327334650892,49,2655.0,0.11341403725269521,49,2655.0
265.0,49,902.0,10.611764705882353,3.3331222270374665,49,2595.0,0.14012602022975928,49,2595.0
270.0,49,980.0,12.25,3.270008138076109,49,2518.0,0.1227090773991574,49,2518.0
275.0,52,1235.0,15.632911392405063,3.7131617107218164,52,2518.0,0.15817382264689764,52,2518.0
280.0,53,1495.0,18.6875,3.9594507533287584,53,2530.0,0.1449278176609173,53,2530.0
285.0,55,1758.0,23.13157894736842,3.3690419473483204,55,2656.0,0.1064395913771515,55,2656.0
290.0,48,1572.0,20.415584415584416,2.719198605124736,48,2706.0,0.10963011702215239,48,2706.0
295.0,49,1662.0,21.037974683544302,3.4349997389594464,49,2679.0,0.17421603881724934,49,2679.0
300.0,52,1910.0,24.17721518987342,3.7145378882501925,52,2781.0,0.1487514276685568,52,2781.0
305.0,58,2180.0,27.94871794871795,2.4122871464032616,58,3051.0,0.06337118277183429,58,3051.0
310.0,56,2072.0,26.227848101265824,1.6866798967414036,56,3100.0,0.0627400826696173,56,3100.0
315.0,53,1767.0,22.653846153846153,2.3031334119885343,53,2894.0,0.08694579451660553,53,2894.0
320.0,46,1300.0,16.666666666666668,2.257618645149227,46,3088.0,0.08745043586737533,46,3088.0
