step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
175.0,46,2509.0,36.36231884057971,3.697465990547198,46,2628.0,0.11540377696878927,46,2628.0
180.0,46,2739.0,43.476190476190474,3.008030153150843,46,2746.0,0.0646856420453478,46,2746.0
185.0,46,2969.0,46.390625,3.212893555110986,46,2970.0,0.10328463324767242,46,2970.0
190.0,46,3199.0,54.220338983050844,2.4984578383336706,46,3200.0,0.1000715573451741,46,3200.0
195.0,48,3431.0,59.1551724137931,1.7421556783959251,48,3432.0,0.037048268705580395,48,3432.0
200.0,50,3679.0,68.12962962962963,1.0294380648489538,50,3680.0,0.03563026833972642,50,3680.0
205.0,50,3929.0,72.75925925925925,0.9888570909809743,50,3930.0,0.038461538461538464,50,3930.0
210.0,50,4179.0,77.38888888888889,0.9736033487033348,50,4180.0,0.03765928156189068,50,4180.0
215.0,50,4429.0,83.56603773584905,0.6729662017844786,50,4430.0,0.035426941584430834,50,4430.0
220.0,47,4289.0,71.48333333333333,2.1021899942139,47,4412.0,0.13939435032107528,47,4412.0
225.0,48,4529.0,75.48333333333333,2.1190783595393388,48,4530.0,0.10492819914026771,48,4530.0
230.0,49,4754.0,76.6774193548387,1.4504219909699545,49,4755.0,0.049139017746332704,49,4755.0
235.0,52,5012.0,83.53333333333333,1.456164203216491,52,5013.0,0.03525372016941388,52,5013.0
240.0,52,5272.0,90.89655172413794,1.212464269243338,52,5273.0,0.018371593587411375,52,5273.0
245.0,52,5532.0,98.78571428571429,0.8367384390457993,52,5533.0,0.03490454834695496,52,5533.0
250.0,52,5792.0,103.42857142857143,0.8513108202345098,52,5793.0,0.03475275853293135,52,5793.0
255.0,52,6052.0,99.21311475409836,1.8037853541140658,52,6053.0,0.09516989635022753,52,6053.0
260.0,52,6312.0,103.47540983606558,1.4836456255976733,52,6313.0,0.07449352822211525,52,6313.0
265.0,52,6508.0,108.46666666666667,0.8254058253761702,52,6509.0,0.049332170650724795,52,6509.0
270.0,56,6784.0,113.06666666666666,0.8734393160275492,56,6785.0,0.031781292811782595,56,6785.0
275.0,54,7048.0,117.46666666666667,0.8713889831201346,54,7049.0,0.02164686331111107,54,7049.0
280.0,54,7318.0,121.96666666666667,1.232521376976752,54,7319.0,0.03467939444824101,54,7319.0
285.0,54,7588.0,126.46666666666667,1.2350910876455603,54,7589.0,0.03402014036808668,54,7589.0
290.0,55,7859.0,119.07575757575758,1.9979427515070247,55,7860.0,0.11450988595140296,55,7860.0
295.0,56,8139.0,127.171875,1.4302346310236622,56,8140.0,0.09618192613510636,56,8140.0
300.0,59,8426.0,131.65625,0.4567142416148749,59,8427.0,0.0014736308034876597,59,8427.0
305.0,62,8734.0,132.33333333333334,0.8686296234679391,62,8735.0,0.030010402028337657,62,8735.0
310.0,62,9044.0,137.03030303030303,0.5817283971729506,62,9045.0,0.012629729700797707,62,9045.0
315.0,64,9361.0,141.83333333333334,0.38075898368065786,64,9362.0,0.027821687448517603,64,9362.0
